country_code,num_cables,total_capacity_tbps,cable_names
SG,21,3255,"APCN-2, APX-West, Asia Pacific Gateway (APG), Asia Submarine-cable Express (ASE)/Cahaya Malaysia, Asia-America Gateway (AAG) Cable System..."
US,46,3010,"ACS Alaska-Oregon Network (AKORN), APX-East, ARCOS, Alaska United East, Alaska United West..."
CN,12,1250,"APCN-2, Asia Pacific Gateway (APG), Asia Submarine-cable Express (ASE)/Cahaya Malaysia, Asia-America Gateway (AAG) Cable System, China-U.S. Cable Network (CHUS)..."
PU,15,1200,"ARCOS, America Movil Submarine Cable System-1 (AMX-1), Americas-I North, Americas-II, Antillas 1..."
GB,26,1164.8,"Arctic Fibre, Atlantic Crossing-1 (AC-1), BT-MT-1, Channel Islands-9 Liberty Submarine Cable, Europe India Gateway (EIG)..."
JP,16,1150,"APCN-2, Arctic Fibre, Asia Pacific Gateway (APG), Asia Submarine-cable Express (ASE)/Cahaya Malaysia, Australia-Japan Cable (AJC)..."
IT,18,903.2,"Columbus-III, Didon, Europe India Gateway (EIG), GO-1 Mediterranean Cable System, HANNIBAL System..."
AE,12,800.8,"Bay of Bengal Gateway (BBG), Europe India Gateway (EIG), FLAG Europe-Asia (FEA), Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System, IMEWE..."
EG,9,800,"Aletar, Europe India Gateway (EIG), FLAG Europe-Asia (FEA), FLAG FALCON, IMEWE..."
AU,17,761.6,"APX-East, APX-West, Australia-Japan Cable (AJC), Australia-Papua New Guinea-2 (APNG-2), Australia-Singapore Cable (ASC)..."
IN,11,750,"Bay of Bengal Gateway (BBG), Europe India Gateway (EIG), FLAG Europe-Asia (FEA), FLAG FALCON, Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System..."
FR,18,605.6,"Atlantic Crossing-1 (AC-1), Atlas Offshore, Circe South, Concerto, Corse-Continent 4 (CC4)..."
IE,18,564.8,"BT-MT-1, Celtic, CeltixConnect, E-LLAN, ESAT-1..."
CY,12,550.8,"ALASIA, Aphrodite 2, CADMOS, CIOS, EUROPA..."
QA,4,500,"Fiber Optic Gulf (FOG), Gulf Bridge International Cable System (GBICS)/Middle East North Africa (MENA) Cable System, Qatar-UAE Submarine Cable System, Tata TGN-Gulf"
KR,9,450,"APCN-2, Asia Pacific Gateway (APG), China-U.S. Cable Network (CHUS), FLAG Europe-Asia (FEA), FLAG North Asia Loop/REACH North Asia Loop..."
ID,4,450,"Australia-Singapore Cable (ASC), JAKABARE, Matrix Cable System, SeaMeWe-3"
PT,9,400.8,"Africa Coast to Europe (ACE), Atlantis-2, Columbus-III, Europe India Gateway (EIG), Main One..."
ZA,7,400,"Africa Coast to Europe (ACE), SAFE, SAT-3/WASC, South African Marine System (SAMS), South Atlantic Express (SAEx)..."
IL,7,400,"BERYTAR, CIOS, FLAG Europe-Asia (FEA), Jonah, Lev Submarine System..."
MA,6,350,"Atlas Offshore, Estepona-Tetouan, Europe India Gateway (EIG), Loukkos, Melita 1..."
MY,4,350,"Asia Pacific Gateway (APG), Batam Dumai Melaka (BDM) Cable System, Dumai-Melaka Cable System, SeaMeWe-4"
SE,16,325.6,"BCF-1, BCS North - Phase 1, Denmark-Norway 5, Denmark-Sweden 15, Denmark-Sweden 17..."
TR,4,300.8,"ITUR, KAFOS, MedNautilus Submarine System, SeaMeWe-3"
GH,5,300,"Africa Coast to Europe (ACE), GLO-1, Main One, SAT-3/WASC, West African Cable System (WACS)"
LE,6,300,"ALASIA, Aletar, BERYTAR, EUROPA, IMEWE..."
TW,4,300,"Asia Pacific Gateway (APG), EAC-C2C, SeaMeWe-3, Taiwan Strait Express-1 (TSE)-1"
GU,5,300,"Maya-1, Pacific Caribbean Cable System (PCCS), Pan American (PAN-AM), Pan-American Crossing (PAC), South American Crossing (SAC)/Latin American Nautilus (LAN)"
DE,7,260,"Baltica, CANTAT-3, Elektra-GlobalConnect 1 (GC1), Fehmarn Bält, Germany-Denmark 2..."
NG,3,250,"Africa Coast to Europe (ACE), SAT-3/WASC, West African Cable System (WACS)"
BR,4,250,"Cable of the Americas, Seabras-1, South America-1 (SAm-1), South American Crossing (SAC)/Latin American Nautilus (LAN)"
NZ,4,250,"APX-East, Hawaiki Cable, Southern Cross Cable Network (SCCN), Tasman Global Access (TGA) Cable"
ES,8,207.4,"Algeria-Spain, BCS North - Phase 1, Balalink, Finland Estonia Connection (FEC), Finland-Estonia 2 (EESF-2)..."
IC,4,200,"CANTAT-3, DANICE, Emerald Express, Greenland Connect"
RU,3,160,"BCS North - Phase 2, Russia-Japan Cable Network (RJCN), Russian Optical Trans-Arctic Cable System (ROTACS)"
NL,6,152.4,"Circe North, Concerto, Germany-Netherlands, NorSea Com, UK-Netherlands 14..."
VE,3,150,"ALBA-1, Americas-II, ECLink"
PH,3,150,"APCN-2, SeaMeWe-3, Southeast Asia Japan Cable (SJC)"
HO,3,150,"ARCOS, America Movil Submarine Cable System-1 (AMX-1), Maya-1"
UR,2,150,"Bicentenario, Unisur"
TZ,3,150,"Eastern Africa Submarine System (EASSy), SEACOM/Tata TGN-Eurasia, Seychelles to East Africa System (SEAS)"
CA,3,150,"Hibernia Express, Malaysia-Cambodia-Thailand (MCT) Cable, Polaris"
AL,5,102.4,"Adria-1, Corfu-Bar, Greece-Western Europe Network (GWEN), Italy-Albania, Italy-Greece 1"
VN,2,100,"Asia-America Gateway (AAG) Cable System, Tata TGN-Intra Asia (TGN-IA)"
